Harvest_Date,Location,Soil_Type,Avg_Temp_C,Avg_Rain_mm,Avg_Humidity,Yield_kg
2000-01-02,Block_C_Hill,Laterite,27.2,154.8,71.6,14028
2000-01-04,Block_B_Valley,Clay Loam,27.2,167.4,73.2,12989
2000-01-06,Block_A_North,Sandy Loam,27.5,162.0,79.8,14419
2000-01-08,Block_B_Valley,Clay Loam,26.8,155.3,84.3,13691
2000-01-09,Block_C_Hill,Laterite,26.6,152.9,78.2,14242
2000-01-10,Block_C_Hill,Laterite,28.9,162.2,70.1,12106
2000-01-12,Block_D_River,Alluvial,27.2,172.2,76.4,12605
2000-01-13,Block_A_North,Sandy Loam,26.9,176.4,77.7,14604
2000-01-15,Block_C_Hill,Laterite,28.3,159.4,76.1,13200
2000-01-17,Block_C_Hill,Laterite,26.9,184.0,68.2,14021
2000-01-19,Block_C_Hill,Laterite,30.3,154.1,70.7,12353
2000-01-20,Block_A_North,Sandy Loam,28.6,143.8,74.2,12584
2000-01-21,Block_B_Valley,Clay Loam,27.8,160.6,73.4,13383
2000-01-23,Block_A_North,Sandy Loam,26.8,154.5,71.6,14819
2000-01-24,Block_C_Hill,Laterite,29.3,164.1,74.1,12696
2000-01-26,Block_A_North,Sandy Loam,27.9,184.4,82.2,13219
2000-01-28,Block_A_North,Sandy Loam,30.8,181.0,68.4,12564
2000-01-29,Block_D_River,Alluvial,26.1,148.0,63.4,13682
2000-01-30,Block_D_River,Alluvial,30.5,157.4,80.4,11232
2000-02-01,Block_A_North,Sandy Loam,31.0,219.6,74.2,11298
2000-02-03,Block_D_River,Alluvial,27.8,176.1,80.7,13072
2000-02-05,Block_C_Hill,Laterite,29.5,192.0,86.7,11852
2000-02-06,Block_B_Valley,Clay Loam,28.1,170.7,75.1,13271
2000-02-08,Block_A_North,Sandy Loam,29.7,183.6,81.7,11964
2000-02-10,Block_B_Valley,Clay Loam,30.4,194.3,80.7,11529
2000-02-12,Block_B_Valley,Clay Loam,31.1,192.3,82.6,11931
2000-02-13,Block_C_Hill,Laterite,31.5,214.8,75.1,11665
2000-02-14,Block_C_Hill,Laterite,32.4,165.4,70.8,11876
2000-02-15,Block_B_Valley,Clay Loam,31.0,154.9,78.8,10652
2000-02-16,Block_D_River,Alluvial,29.9,157.0,76.8,12127
2000-02-17,Block_C_Hill,Laterite,26.5,193.7,79.6,13835
2000-02-18,Block_D_River,Alluvial,29.4,181.8,73.9,12096
2000-02-19,Block_B_Valley,Clay Loam,27.4,193.2,72.9,13321
2000-02-20,Block_B_Valley,Clay Loam,29.3,164.0,79.6,12240
2000-02-21,Block_C_Hill,Laterite,30.6,241.0,75.6,11253
2000-02-22,Block_A_North,Sandy Loam,27.8,258.2,74.9,13135
2000-02-24,Block_C_Hill,Laterite,31.2,165.4,64.4,11466
2000-02-25,Block_A_North,Sandy Loam,28.6,201.5,75.5,13534
2000-02-26,Block_B_Valley,Clay Loam,28.4,193.2,72.6,12682
2000-02-28,Block_C_Hill,Laterite,30.3,200.4,76.6,11607
2000-03-01,Block_B_Valley,Clay Loam,31.3,180.2,87.0,10932
2000-03-02,Block_D_River,Alluvial,31.1,195.7,79.7,10751
2000-03-03,Block_C_Hill,Laterite,28.9,190.1,83.3,11833
2000-03-05,Block_C_Hill,Laterite,30.5,207.9,75.7,11523
2000-03-07,Block_D_River,Alluvial,32.2,212.3,79.6,10510
2000-03-08,Block_B_Valley,Clay Loam,29.7,196.3,77.3,10957
2000-03-09,Block_B_Valley,Clay Loam,30.1,213.6,82.1,11366
2000-03-10,Block_B_Valley,Clay Loam,30.8,212.9,78.5,11049
2000-03-11,Block_B_Valley,Clay Loam,34.1,229.3,82.7,9306
2000-03-12,Block_A_North,Sandy Loam,30.4,184.4,81.7,11299
2000-03-13,Block_D_River,Alluvial,30.6,200.1,86.9,10659
2000-03-14,Block_B_Valley,Clay Loam,29.9,213.8,77.2,11440
2000-03-16,Block_C_Hill,Laterite,31.6,168.3,87.0,11387
2000-03-18,Block_A_North,Sandy Loam,29.8,168.6,75.2,12741
2000-03-20,Block_A_North,Sandy Loam,30.0,203.4,75.4,11995
2000-03-21,Block_B_Valley,Clay Loam,30.2,205.4,76.5,11022
2000-03-23,Block_B_Valley,Clay Loam,29.7,227.0,77.8,11587
2000-03-24,Block_D_River,Alluvial,29.3,198.8,82.6,12563
2000-03-25,Block_C_Hill,Laterite,29.6,172.1,87.2,12517
2000-03-26,Block_C_Hill,Laterite,31.0,194.8,76.8,11705
2000-03-28,Block_D_River,Alluvial,28.8,235.9,85.7,11918
2000-03-30,Block_D_River,Alluvial,30.4,195.5,84.1,10978
2000-03-31,Block_B_Valley,Clay Loam,31.3,196.5,74.7,10987
2000-04-01,Block_A_North,Sandy Loam,28.7,202.5,75.5,12789
2000-04-02,Block_B_Valley,Clay Loam,29.6,186.7,80.5,12364
2000-04-03,Block_B_Valley,Clay Loam,28.3,228.7,76.6,12549
2000-04-05,Block_A_North,Sandy Loam,27.4,225.3,72.6,13972
2000-04-07,Block_B_Valley,Clay Loam,28.2,210.6,81.0,12179
